Inf;Player;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
;Felix Eriksson;0;0;0;1;2.1;71;0.5;2.3;8.9;11.0;0.0;3.7;1.0;1.0;0%;33%;0.2;0;0.0;19.9;0.8;12.6;12.1;11.8;60.2;70.2;86%;1.5;4;0.2;0.1;0;1.8;1.4;2145;79.4444444444444;0.0;0.0;0.0;0.0;0.1;0.0;25 (2);0;0.7;2.3;29;0.7;2.4;27;0.2;57;2.1;49;1.6;3.6;86;Denmark;3F Superliga;SWE;AGF;D (RLC), WB (R);29;Unknown;€6.25K p/w
;Jens Kastrup;0;0;0;0;1.4;73;0.3;1.1;5.3;9.4;0.2;3.4;1.5;1.0;0%;60%;0.2;0;0.0;16.3;0.8;12.7;9.0;13.6;49.3;58.1;85%;1.0;4;0.3;0.1;0;1.0;0.8;1181;53.6818181818182;0.0;0.0;0.0;0.0;0.1;0.0;13 (9);0;0.5;4.4;12;0.5;4.4;12;0.1;29;0.9;12;2.2;3.1;41;Denmark;3F Superliga;DEN;Brøndby IF;D (LC);19;Unknown;€2.2K p/w
;Sem van Duijn;0;0;0;0;2.1;75;0.1;3.7;14.3;7.1;0.0;1.8;0.5;0.2;13%;35%;0.6;0;0.0;22.2;2.8;13.2;5.2;15.0;58.8;66.5;88%;2.2;5;0.4;0.3;0;1.6;1.7;1167;77.8;0.2;0.2;0.2;0.0;0.2;0.0;15;389;0.8;2.5;31;0.8;2.5;31;0.2;55;2.3;30;1.9;4.2;55;Denmark;3F Superliga;NED;FC Nordsjælland;M (L), AM (RL), ST (C);29;Unknown;€8.75K p/w
;Ikechukwu Nasiru;0;0;0;0;1.4;74;0.4;1.9;5.4;11.6;0.3;3.6;1.9;0.5;0%;44%;0.2;0;0.0;13.1;0.8;12.2;6.5;11.0;39.9;46.5;86%;0.9;6;0.4;0.1;0;0.7;1.1;1488;78.3157894736842;0.0;0.0;0.0;0.0;0.1;0.0;19;0;0.7;3.1;21;0.7;3.1;21;0.2;51;2.6;43;2.5;5.1;85;Denmark;3F Superliga;NGA;Randers FC;D/WB (R);23;Unknown;€4.4K p/w
;Don-Angelo Konadu;0;0;0;0;0.7;78;0.1;1.0;5.4;5.3;0.0;1.0;0.6;0.2;19%;50%;0.8;0;0.0;10.1;1.9;12.1;2.0;11.5;32.7;37.8;86%;1.4;7;0.7;0.1;0;1.5;1.7;949;45.1904761904762;0.2;0.3;0.2;0.0;0.2;0.0;8 (13);316.333333333333;0.4;1.3;29;0.4;1.5;25;0.2;61;4.0;42;2.6;6.5;69;Denmark;3F Superliga;NED;FC Fredericia;AM (LC), ST (C);27;Unknown;€3.9K p/w
;Thomas Corigliano;0;0;0;0;0.1;40;0.1;0.9;4.6;4.6;0.0;1.4;0.3;0.2;22%;44%;0.8;0;0.0;8.1;0.9;11.9;4.7;13.0;48.9;55.7;88%;1.6;5;0.3;0.1;0;1.2;2.1;1517;65.9565217391304;0.4;0.4;0.4;0.0;0.1;0.0;20 (3);216.714285714286;0.2;0.4;43;0.4;2.5;16;0.0;28;0.7;12;1.8;2.6;43;Denmark;3F Superliga;ITA;FC Fredericia;DM, M/AM (C), ST (C);24;Unknown;€7K p/w
Inj;Ransford Amoo;0;0;0;0;0.7;58;0.2;1.5;4.8;4.3;0.0;2.1;0.0;0.4;9%;33%;1.1;0;0.0;11.3;6.3;11.9;5.1;14.9;48.9;54.1;90%;2.4;14;1.4;0.4;0;2.2;1.1;882;36.75;0.4;0.3;0.4;0.0;0.5;0.0;8 (16);294;1.8;5.7;32;2.3;8.5;27;0.0;18;0.7;7;3.4;4.1;40;Denmark;3F Superliga;GHA;AGF;AM (RL);25;Unknown;€5.75K p/w
;Dario Filipović;0;0;0;0;0.0;0;0.8;1.5;6.1;3.0;0.0;0.8;0.8;0.8;0%;25%;0.8;0;0.0;12.1;2.3;13.2;0.8;9.8;28.7;29.5;97%;3.8;0;0.0;0.0;0;2.3;0.8;119;11.9;0.3;0.0;0.3;0.0;0.1;0.0;0 (10);0;0.0;0.8;0;0.0;2.3;0;0.0;0;0.0;0;11.3;11.3;15;Denmark;3F Superliga;BIH;Vejle;ST (C);21;Unknown;€3.3K p/w
;Daniel Zastrow;0;0;0;0;2.8;83;0.2;3.0;9.6;13.2;0.3;3.7;1.5;0.5;0%;20%;0.1;0;0.0;19.4;2.0;13.0;10.9;10.5;67.9;75.2;90%;1.2;6;0.4;0.2;0;1.8;1.0;1449;85.2352941176471;0.0;0.0;0.0;0.0;0.1;0.0;25 (3);0;1.1;2.2;51;1.1;2.2;50;0.4;62;1.8;29;1.1;2.9;47;Denmark;3F Superliga;DEN;FC Midtjylland;D (LC), WB (L);22;Unknown;€12K p/w
;Thomas Henriksen;0;0;0;0;1.3;69;0.1;2.6;11.6;6.3;0.1;2.8;1.0;0.2;4%;40%;0.7;0;0.0;19.8;5.0;12.9;4.8;14.2;43.8;49.1;89%;1.7;8;0.5;0.2;0;0.7;1.1;1360;85;0.1;0.1;0.1;0.0;0.2;0.0;6 (13);1360;0.7;6.1;12;0.9;6.8;12;0.0;14;0.7;10;4.2;4.8;73;Denmark;3F Superliga;DEN;Randers FC;M/AM (L), ST (C);23;Unknown;€5K p/w
;Benjamin Steffen-Ziegler;0;0;0;0;5.5;100;0.0;3.5;10.4;13.2;0.0;2.1;0.0;0.0;0%;33%;0.7;0;0.0;26.3;4.8;13.8;7.6;24.2;33.9;46.4;73%;3.5;2;1.4;0.7;0;4.2;1.4;130;26;0.1;0.0;0.1;0.0;0.7;0.0;0 (5);0;4.2;11.1;38;4.2;11.1;37;0.0;44;2.8;4;3.5;6.2;9;Denmark;3F Superliga;GER;Sønderjyske;WB (RL);19;Unknown;€2.2K p/w
;Thomas Storgaard;2;0;75;1;0.0;0;0.0;0.0;0.0;8.0;0.0;0.3;4.7;0.0;0%;0%;0.0;87;-0.1;0.0;0.0;4.0;2.0;17.8;7.3;23.5;31%;0.0;0;0.0;0.0;4;2.0;1.6;1890;90;0.0;0.0;0.0;1.6;0.0;0.2;21;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;Vejle;GK;21;Unknown;€4.1K p/w
;Felix Sommer;0;0;0;0;0.7;100;1.2;0.7;2.6;13.2;0.1;4.2;1.7;1.3;0%;40%;0.1;0;0.0;3.1;0.0;10.2;3.3;10.8;34.3;44.1;78%;0.1;0;0.0;0.0;0;0.7;1.3;1470;86.4705882352941;0.0;0.0;0.0;0.0;0.0;0.0;17;0;0.1;0.1;50;0.1;0.1;50;0.6;65;4.0;66;2.1;6.2;101;Denmark;3F Superliga;DEN;Randers FC;D (C);24;Unknown;€4K p/w
;Mathis Clairicia;0;0;0;0;0.5;100;0.1;0.8;3.5;3.0;0.1;1.1;0.2;0.1;22%;65%;2.1;0;0.0;10.5;1.0;11.7;1.2;11.0;32.0;36.8;87%;1.6;7;0.4;0.3;0;2.1;1.3;1556;53.6551724137931;0.5;0.7;0.5;0.0;0.2;0.0;13 (16);129.666666666667;0.5;1.7;31;0.5;1.7;31;0.1;44;3.4;59;4.3;7.8;134;Denmark;3F Superliga;FRA;AGF;AM (RL), ST (C);31;Unknown;€8.25K p/w
;Magnus Sveistrup;0;0;0;1;0.7;73;0.3;1.3;4.7;3.0;0.0;1.1;0.3;0.5;11%;44%;0.7;0;0.0;7.6;1.8;11.9;2.7;6.1;29.3;33.1;89%;1.3;1;0.1;0.1;0;0.9;1.3;1101;78.6428571428571;0.2;0.2;0.2;0.0;0.1;0.0;2 (12);550.5;0.3;1.6;20;0.3;1.6;20;0.0;16;1.1;13;5.5;6.5;80;Denmark;3F Superliga;DEN;Randers FC;M (C), AM (R), ST (C);20;Unknown;€2.1K p/w
;Friday Etim;0;0;0;0;0.3;100;0.1;0.7;4.3;3.2;0.0;1.2;0.6;0.1;9%;41%;1.2;0;0.0;10.6;0.6;12.3;1.1;8.0;33.5;37.0;91%;1.0;1;0.1;0.1;0;1.0;3.3;652;32.6;0.3;0.3;0.3;0.0;0.1;0.0;5 (15);326;0.1;1.0;14;0.1;1.0;14;0.6;52;6.8;49;6.3;13.1;95;Denmark;3F Superliga;NGA;Aarhus Fremad;ST (C);31;Unknown;€1.5K p/w
;Cyprian Popielec;0;0;0;1;1.3;81;0.1;2.4;10.3;7.2;0.0;3.3;0.5;0.4;13%;50%;0.9;0;0.0;18.1;2.5;13.0;4.6;11.3;45.3;50.7;89%;1.4;3;0.2;0.1;0;1.5;1.1;1183;59.15;0.2;0.2;0.2;0.0;0.2;0.0;19 (1);394.333333333333;0.1;2.3;3;0.2;5.2;4;0.0;12;0.5;7;4.0;4.6;60;Denmark;3F Superliga;POL;Brøndby IF;DM, M (C), AM (RLC);26;Unknown;€8K p/w
;Jonas Jensen-Abbew;0;0;0;0;2.8;77;0.4;3.0;9.1;14.9;0.3;3.8;1.1;1.0;23%;46%;0.3;0;0.0;17.9;0.4;12.8;9.6;9.7;63.4;70.3;90%;0.8;4;0.2;0.1;0;1.8;1.5;1802;78.3478260869565;0.1;0.1;0.1;0.0;0.1;0.0;22 (1);600.666666666667;0.3;1.2;25;0.3;1.2;25;1.2;68;3.7;75;1.7;5.5;110;Denmark;3F Superliga;DEN;AGF;D (LC);31;Unknown;€5.5K p/w
;Mikkel Søbye;0;0;0;0;1.3;77;0.1;1.6;6.4;6.4;0.0;1.9;0.3;0.4;0%;39%;0.9;0;0.0;8.9;2.7;12.8;4.4;7.8;55.8;61.5;91%;2.1;0;0.0;0.0;0;1.9;1.2;679;37.7222222222222;0.4;0.0;0.4;0.0;0.1;0.0;5 (13);0;0.9;2.7;35;0.9;2.7;35;0.1;44;2.0;15;2.5;4.5;34;Denmark;3F Superliga;DEN;AGF;DM, M (C), AM (LC);23;Unknown;€3.5K p/w
;Matúš Sláviček;2;50;87;0;0.1;50;0.0;0.0;0.0;8.8;0.1;0.5;7.7;0.0;0%;0%;0.0;88;0.4;0.1;0.0;4.2;0.6;11.1;13.4;19.9;68%;0.1;1;0.1;0.1;5;1.5;1.1;1800;90;0.0;0.0;0.0;1.1;0.0;0.5;20;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;SVK;Brøndby IF;GK;30;Unknown;€3.3K p/w
;William Wind;0;0;0;0;0.5;82;0.1;0.4;1.0;2.8;0.0;0.7;0.2;0.1;26%;69%;2.4;0;0.0;6.6;2.2;11.5;1.7;10.2;21.3;25.8;83%;1.7;9;0.5;0.2;0;2.0;1.6;1722;86.1;0.5;0.9;0.5;0.0;0.2;0.0;15 (6);101.294117647059;0.4;1.8;23;0.4;1.8;22;0.1;29;3.1;60;7.6;10.7;205;Denmark;3F Superliga;DEN;Vejle;ST (C);23;Unknown;€5.25K p/w
;Hugo Simões;0;0;0;0;1.7;85;0.2;3.8;13.4;8.8;0.2;2.4;0.6;0.2;0%;27%;0.5;0;0.0;21.8;5.8;13.1;6.6;17.7;64.4;72.5;89%;3.3;9;1.4;0.6;0;1.6;1.1;570;43.8461538461538;0.2;0.0;0.2;0.0;0.6;0.0;6 (7);0;1.7;5.4;32;2.1;6.8;30;0.0;65;1.7;11;0.9;2.7;17;Denmark;3F Superliga;POR;FC Midtjylland;M/AM (L);22;Unknown;€9.75K p/w
Wnt;Jacob Winther;0;0;0;0;3.3;79;0.4;3.1;11.5;11.5;0.2;2.2;0.9;0.7;0%;9%;0.2;0;0.0;15.3;3.5;13.8;7.7;14.2;43.6;51.1;85%;0.9;1;0.2;0.2;0;1.5;0.2;407;23.9411764705882;0.1;0.0;0.1;0.0;0.2;0.0;3 (14);0;0.2;4.0;6;0.2;4.0;5;0.0;25;0.9;4;2.7;3.5;16;Denmark;3F Superliga;DEN;Brøndby IF;D/WB/M/AM (R);23;Unknown;€7K p/w
;Jeppe Haarh;0;0;0;1;2.0;68;0.2;3.1;10.9;8.0;0.0;2.3;0.2;0.4;13%;56%;1.8;0;0.0;18.2;2.9;12.9;4.6;15.4;52.2;58.7;89%;3.2;12;0.8;0.2;0;1.9;1.2;1284;49.3846153846154;0.3;0.4;0.3;0.0;0.3;0.0;16 (10);214;1.6;7.4;22;1.8;8.8;19;0.2;56;3.2;45;2.5;5.6;80;Denmark;3F Superliga;DEN;FC København;M/AM (L);22;Unknown;€20.5K p/w
;Jesper Jensen;0;0;0;1;1.0;71;0.6;1.5;4.7;17.6;0.1;4.3;1.3;0.7;11%;47%;0.5;0;0.0;9.3;0.4;11.0;4.8;10.0;50.4;58.6;86%;0.5;1;0.1;0.0;0;1.6;1.1;1600;80;0.1;0.1;0.1;0.0;0.0;0.0;20;800;0.1;0.8;13;0.2;1.5;11;1.7;87;6.6;118;1.0;7.6;136;Denmark;3F Superliga;DEN;Brøndby IF;D (LC), WB/M (L);22;Unknown;€5.25K p/w
;Emanuel Ajani;0;0;0;1;0.5;65;0.6;0.9;2.2;15.6;0.1;3.7;2.0;0.6;0%;20%;0.0;0;0.0;5.0;0.0;9.8;2.6;10.5;25.2;34.5;73%;0.3;2;0.1;0.0;0;2.0;1.5;1975;89.7727272727273;0.0;0.0;0.0;0.0;0.0;0.0;6 (13);0;0.0;0.0;0;0.0;0.0;0;1.9;77;7.9;174;2.4;10.3;226;Denmark;3F Superliga;NGA;Vejle;D (C);23;Unknown;€4.4K p/w
;Kasper Lyngbo;0;0;0;0;0.0;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;50%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93%;0.0;0;0.0;0.0;0;0.0;0.0;61;6.77777777777778;0.0;0.0;0.0;0.0;0.0;0.0;0 (9);0;0.0;0.0;0;0.0;0.0;0;0.0;57;0.0;4;0.0;0.0;7;Denmark;3F Superliga;DEN;FC Midtjylland;DM, M (C);22;Unknown;€5.75K p/w
;Asger Pingel;0;0;0;0;1.4;77;0.8;1.6;7.1;7.5;0.2;3.1;0.9;1.0;12%;41%;0.4;0;0.0;16.4;0.5;13.0;15.9;9.7;83.4;92.8;90%;1.6;3;0.2;0.1;0;1.4;1.8;1530;90;0.1;0.1;0.1;0.0;0.1;0.0;0 (10);765;0.2;0.5;38;0.2;0.5;37;0.1;63;1.0;17;0.6;1.6;27;Denmark;3F Superliga;DEN;FC Nordsjælland;D (C), DM;22;Unknown;€7.5K p/w
;Claus Thomsen;0;0;0;0;0.8;67;0.3;0.7;2.9;10.9;0.1;3.8;1.4;0.6;0%;50%;0.2;0;0.0;7.0;0.1;10.8;3.0;4.9;46.8;51.5;91%;0.2;0;0.0;0.0;0;1.4;1.7;1343;63.9523809523809;0.0;0.0;0.0;0.0;0.0;0.0;13 (8);0;0.0;0.3;0;0.0;0.3;0;0.2;60;2.9;43;1.9;4.8;72;Denmark;3F Superliga;DEN;AGF;D (LC), DM;23;Unknown;€4.7K p/w
;Mehmet Majgaard;0;0;0;0;0.6;84;0.6;0.4;2.3;11.2;0.2;3.0;1.4;0.9;17%;50%;0.2;0;0.0;5.5;0.0;10.7;4.0;8.0;48.1;56.1;86%;0.3;2;0.1;0.0;0;1.9;1.2;2411;83.1379310344828;0.1;0.1;0.1;0.0;0.0;0.0;27 (2);1205.5;0.1;0.1;100;0.1;0.1;100;1.2;67;3.6;96;1.8;5.4;144;Denmark;3F Superliga;DEN;AGF;D (RC), DM;22;Unknown;€3.6K p/w
;Kasper Jørgensen;0;0;0;0;0.5;100;0.0;0.4;2.9;2.0;0.0;0.9;0.0;0.0;13%;44%;1.3;0;0.0;6.6;0.5;11.3;0.5;7.5;22.2;26.2;85%;0.9;1;0.2;0.2;0;1.6;0.4;491;61.375;0.3;0.4;0.3;0.0;0.2;0.0;5 (3);245.5;0.2;0.2;100;0.7;5.7;12;0.0;50;3.1;17;3.1;6.2;34;Denmark;3F Superliga;DEN;FC København;M (L), AM (C), ST (C);20;Unknown;€19.25K p/w
;Lauge Nyegaard;0;0;0;0;0.1;17;0.0;1.2;4.7;2.0;0.0;0.8;0.3;0.1;25%;50%;1.2;0;0.0;8.1;1.0;11.6;0.7;5.7;22.8;24.9;92%;1.4;6;0.4;0.2;0;1.4;1.0;1464;73.2;0.5;0.6;0.5;0.0;0.2;0.0;19 (1);146.4;0.2;0.5;50;0.2;0.5;50;0.2;26;2.5;40;6.9;9.3;152;Denmark;3F Superliga;DEN;Brøndby IF;AM (L), ST (C);22;Unknown;€6.25K p/w
;Luca Kjerrumgaard;0;0;0;0;0.0;0;0.0;0.4;1.4;2.8;0.0;0.7;0.0;0.0;38%;63%;1.8;0;0.0;3.9;1.1;11.2;0.0;6.0;36.3;41.3;88%;1.8;1;0.4;0.0;0;2.5;0.7;253;25.3;0.5;1.1;0.5;0.0;0.1;0.0;2 (8);84.3333333333333;0.7;0.7;100;0.7;0.7;100;0.0;58;5.3;15;3.9;9.2;26;Denmark;3F Superliga;DEN;FC Midtjylland;ST (C);30;Unknown;€15.25K p/w
;Kasper Sætherbø;0;0;0;0;1.1;67;1.0;3.0;9.7;9.7;0.2;2.9;1.7;1.3;10%;80%;0.5;0;0.0;20.3;0.4;12.8;6.6;9.6;45.6;54.2;84%;1.2;1;0.1;0.1;0;0.9;1.6;1469;81.6111111111111;0.1;0.1;0.1;0.0;0.0;0.0;18;1469;0.0;0.5;0;0.0;0.5;0;0.2;60;2.1;35;1.4;3.6;58;Denmark;3F Superliga;NOR;Hvidovre IF;DM, M (C);28;Unknown;€1.7K p/w
Lst;Gabriel Haider;0;0;0;0;0.7;75;1.1;0.6;3.2;10.8;0.3;3.1;1.4;1.1;0%;50%;0.2;0;0.0;5.2;0.0;10.4;2.1;6.7;28.8;34.3;84%;0.2;2;0.1;0.0;0;0.8;1.8;1620;90;0.0;0.0;0.0;0.0;0.0;0.0;25 (2);0;0.0;0.1;0;0.0;0.3;0;0.8;68;4.2;75;1.9;6.1;110;Denmark;3F Superliga;AUT;Hvidovre IF;D (C), DM;31;Unknown;€3.3K p/w
;David Stückler;0;0;0;0;0.4;63;0.0;1.1;5.1;3.4;0.0;1.0;0.2;0.0;15%;56%;1.3;0;0.0;9.3;1.3;11.8;1.2;8.8;25.4;29.4;86%;0.5;2;0.2;0.0;0;0.8;1.3;1078;56.7368421052632;0.4;0.3;0.4;0.0;0.0;0.0;16 (3);269.5;0.2;1.3;13;0.2;1.3;12;0.3;39;5.8;70;9.1;14.9;179;Denmark;3F Superliga;DEN;Randers FC;AM (R), ST (C);29;Unknown;€6.75K p/w
;Tamar Svetlin;0;0;0;0;0.4;18;0.4;0.4;7.1;8.4;0.0;3.2;0.8;0.4;11%;33%;0.6;0;0.0;13.0;0.4;11.9;4.4;10.7;32.8;36.4;90%;0.6;1;0.2;0.0;0;1.5;1.5;428;23.7777777777778;0.1;0.2;0.1;0.0;0.1;0.0;2 (16);428;0.2;0.4;50;1.1;8.0;13;0.2;50;1.7;8;1.7;3.4;16;Denmark;3F Superliga;SVN;Vejle;DM, M (C), AM (R);32;Unknown;€2.9K p/w
;Sander Hansen;0;0;0;0;0.4;38;0.9;0.7;2.8;12.1;0.1;3.7;1.0;0.8;0%;50%;0.1;0;0.0;9.3;0.5;11.2;6.6;7.9;54.5;59.5;92%;0.5;2;0.1;0.0;0;1.9;1.5;2186;75.3793103448276;0.0;0.0;0.0;0.0;0.0;0.0;23 (6);0;0.1;0.7;12;0.1;0.9;8;1.2;67;4.0;98;2.0;6.0;146;Denmark;3F Superliga;DEN;AGF;D (RC), M (C);22;Unknown;€6.25K p/w
;Nicolaj Kronberg;0;0;0;0;0.2;29;0.0;1.2;4.1;3.2;0.0;1.3;0.5;0.2;25%;54%;1.2;0;0.0;9.9;0.8;12.2;2.6;8.4;45.8;52.1;88%;2.3;5;0.4;0.1;0;2.0;1.5;1008;77.5384615384615;0.3;0.5;0.3;0.0;0.2;0.0;11 (2);168;0.4;1.1;42;0.4;1.2;38;0.0;26;1.0;11;2.9;3.8;43;Denmark;3F Superliga;DEN;FC Nordsjælland;AM (C), ST (C);16;Unknown;€1.9K p/w
;Niels Buur;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100%;0.0;0;0.0;0.0;0;0.0;0.0;5;5;0.0;0.0;0.0;0.0;0.0;0.0;0 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;FC København;ST (C);19;Unknown;€2.6K p/w
;Bolaji Chibueze;0;0;0;0;0.4;62;0.9;0.8;2.0;10.1;0.1;2.8;1.2;0.8;0%;50%;0.0;0;0.0;4.9;0.1;10.2;2.0;6.0;22.2;27.4;81%;0.3;2;0.1;0.0;0;2.0;1.5;1980;90;0.0;0.0;0.0;0.0;0.0;0.0;22;0;0.0;0.0;0;0.0;0.0;0;0.4;41;2.3;50;3.3;5.5;122;Denmark;3F Superliga;NGA;Vejle;D (C), DM;23;Unknown;€5.25K p/w
;Evgeny Usmanov;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92%;0.0;0;0.0;0.0;0;0.0;0.0;28;7;0.0;0.0;0.0;0.0;0.0;0.0;0 (4);0;0.0;0.0;0;0.0;0.0;0;0.0;60;0.0;3;0.0;0.0;5;Denmark;3F Superliga;RUS;FC Nordsjælland;ST (C);25;Unknown;€4.3K p/w
;Ricardo Maurício;0;0;0;0;0.7;50;0.0;2.2;9.3;1.9;0.0;0.7;0.0;0.0;13%;50%;1.5;0;0.0;14.1;7.8;11.6;2.6;17.8;51.5;58.5;88%;1.9;2;0.7;0.0;0;0.4;1.9;243;22.0909090909091;0.4;0.4;0.4;0.0;0.3;0.0;2 (9);243;1.1;5.9;19;1.1;5.9;18;0.0;11;0.4;1;3.0;3.3;9;Denmark;3F Superliga;BRA;AGF;DM, M (RC), AM (R);24;Unknown;€2.9K p/w
;Victor Enggaard;0;0;0;0;0.4;100;0.1;0.6;2.1;2.3;0.0;0.8;0.1;0.1;50%;75%;1.3;0;0.0;6.3;0.9;10.9;1.3;4.3;24.5;27.0;91%;1.5;1;0.1;0.1;0;1.7;1.7;1037;57.6111111111111;0.3;0.9;0.3;0.0;0.1;0.0;11 (7);103.7;0.2;0.5;33;0.2;0.5;33;0.1;23;0.6;7;2.0;2.6;30;Denmark;3F Superliga;DEN;FC Nordsjælland;M (C), ST (C);22;Unknown;€6.25K p/w
;Ilias Hajji;0;0;0;0;1.0;75;0.3;1.7;7.7;5.6;0.0;2.4;0.5;0.5;20%;47%;1.2;0;0.0;18.8;3.8;13.4;4.9;10.1;33.5;37.7;89%;1.9;1;0.2;0.0;0;1.0;0.5;516;32.25;0.3;0.5;0.3;0.0;0.1;0.0;5 (11);172;0.7;3.1;22;0.9;6.1;14;0.0;10;0.5;3;4.5;5.1;29;Denmark;3F Superliga;MAR;Brøndby IF;AM (RL), ST (C);23;Unknown;€7.75K p/w
;Fernando Vaz;0;0;0;1;0.3;67;0.0;0.9;3.5;4.2;0.1;1.8;0.4;0.0;3%;37%;1.0;0;0.0;7.4;1.6;11.5;1.3;8.1;27.4;32.0;86%;1.3;6;0.4;0.1;0;0.5;2.3;1269;66.7894736842105;0.4;0.1;0.4;0.0;0.2;0.0;22 (1);1269;0.3;1.3;21;0.4;1.4;25;0.1;49;5.8;82;6.1;11.9;168;Denmark;3F Superliga;GNB;Lyngby;AM (R), ST (C);23;Unknown;€4.7K p/w
;Otávio Gabriel;0;0;0;0;1.2;71;0.1;1.4;4.9;8.9;0.0;2.9;1.9;0.7;0%;33%;0.4;0;0.0;15.4;1.1;12.8;10.2;9.1;61.1;67.7;90%;1.7;1;0.1;0.1;0;2.2;1.1;750;39.4736842105263;0.0;0.0;0.0;0.0;0.1;0.0;5 (14);0;0.7;2.0;35;0.7;2.0;35;0.2;35;1.3;11;2.4;3.7;31;Denmark;3F Superliga;BRA;FC Nordsjælland;D/WB (R);24;Unknown;€2.3K p/w
Wnt;Andrew Nicholls;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0.0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;5 (15);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;CAN;Sønderjyske;GK;25;Unknown;€14.25K p/w
;Elias Hansborg-Sørensen;0;0;0;0;0.0;25;0.0;0.4;1.4;1.3;0.0;0.5;0.1;0.0;16%;37%;0.6;0;0.0;5.7;0.6;10.7;0.8;9.8;22.2;25.0;89%;0.6;3;0.1;0.0;0;1.0;1.8;1947;84.6521739130435;0.3;0.3;0.3;0.0;0.0;0.0;22 (1);324.5;0.1;0.5;20;0.1;0.5;27;0.3;37;2.7;59;4.6;7.3;158;Denmark;3F Superliga;DEN;FC Fredericia;ST (C);28;Unknown;€6.5K p/w
;Armand Cissé;0;0;0;0;1.2;64;0.5;2.0;7.4;7.7;0.1;2.8;0.7;0.5;0%;47%;0.5;0;0.0;15.5;0.0;12.7;8.1;5.5;65.7;71.0;93%;1.4;5;0.3;0.1;0;1.4;1.0;1517;84.2777777777778;0.0;0.0;0.0;0.0;0.1;0.0;13 (16);0;0.0;0.0;0;0.0;0.1;0;0.3;26;0.5;8;1.4;1.8;31;Denmark;3F Superliga;CIV;Brøndby IF;DM, M (C);21;Unknown;€6.25K p/w
;Jacob Holler;0;0;0;0;1.2;100;0.0;2.7;7.3;14.2;0.0;3.7;0.7;0.0;0%;0%;0.0;0;0.0;11.0;0.2;13.5;4.6;5.4;45.0;48.4;93%;0.7;3;0.7;0.2;0;1.7;1.0;368;33.4545454545455;0.1;0.0;0.1;0.0;0.1;0.0;3 (8);0;0.0;0.0;0;0.0;0.0;0;0.0;13;0.5;2;3.2;3.7;15;Denmark;3F Superliga;DEN;Brøndby IF;DM, M (C);22;Unknown;€5.5K p/w
;Benjamin Stelman;0;0;0;0;2.2;67;0.0;2.6;7.7;14.6;0.0;5.1;3.3;0.0;0%;75%;1.1;0;0.0;20.5;0.0;14.8;5.5;9.9;42.1;50.5;83%;1.1;1;0.4;0.0;0;1.8;1.1;246;14.4705882352941;0.1;0.0;0.1;0.0;0.1;0.0;1 (16);0;0.0;1.1;0;0.0;1.5;0;0.0;35;2.2;6;4.0;6.2;17;Denmark;3F Superliga;DEN;Vejle;D (C), DM, M (C);24;Unknown;€3.1K p/w
