Inf;Player;Best Pos;Asking Price;Tck A;Off;KP/90;Shot/90;Unique ID;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
Wnt;Miloš Luković;ST (C);€1.1M;10;24;1.2;2.6;2000180531;0;0;0;0;0.2;70;0.0;0.6;1.9;1.6;0.0;0.6;0.1;0.1;7%;44%;1.1;0;0.0;8.4;0.7;10.6;0.9;21.9;26.1;28.8;91%;1.2;6;0.2;0.1;0;0.8;1.7;3017;86.2;0.4;0.2;0.4;0.0;0.1;0.0;27 (1);502.833333333333;0.1;0.7;18;0.1;0.7;18;0.2;28;2.4;80;6.2;8.6;287;France;Ligue 1 McDonald's;SRB;Montpellier;AM (RL), ST (C);28;Unknown;€13.75K p/w
Int;Atsushi Otsuki;D (RL);€3.4M;41;0;0.6;0.2;2000052078;0;0;0;0;1.7;78;0.3;1.9;7.6;8.4;0.0;3.1;1.1;0.7;0%;0%;0.0;0;0.0;16.6;1.5;11.4;6.7;17.4;44.3;51.8;85%;0.6;0;0.0;0.0;0;0.5;1.4;1726;63.9259259259259;0.0;0.0;0.0;0.0;0.0;0.0;15 (12);0;0.4;2.3;18;0.4;2.3;17;0.2;54;2.0;39;1.7;3.8;72;Germany;Bundesliga;JPN;Holstein Kiel;D (RL);24;Unknown;€18K p/w
;Natnael Abraha;D (R);€18.75M;70;1;0.8;0.2;2000332384;0;0;0;0;1.9;83;0.4;1.8;7.3;10.5;0.1;3.4;1.0;0.5;0%;43%;0.1;0;0.0;14.9;0.9;11.6;8.3;17.4;55.5;60.8;91%;0.8;6;0.2;0.2;0;1.4;1.4;2701;81.8484848484848;0.0;0.0;0.0;0.0;0.1;0.0;14 (17);0;0.1;0.6;18;0.1;0.6;17;0.3;72;3.0;90;1.2;4.2;125;Germany;Bundesliga;GER;VfB Stuttgart;D (RLC), WB (R);26;Unknown;€55K p/w
;Dies Janse;D (C);€10.5M;20;0;0.1;0.7;2000179623;0;0;0;0;0.5;75;0.5;1.0;3.0;16.6;0.2;3.1;0.7;0.5;0%;22%;0.2;0;0.0;3.4;0.0;9.8;2.4;3.9;42.1;46.4;91%;0.1;3;0.1;0.0;0;1.0;0.7;2761;81.2058823529412;0.1;0.0;0.1;0.0;0.0;0.0;26 (1);0;0.0;0.0;0;0.0;0.0;0;1.4;75;4.5;138;1.5;6.0;184;Portugal;Premier League;NED;VTSC;D (LC);28;Unknown;€23.5K p/w
Wnt;Miguel Figueiredo;DM;€17M;21;0;0.6;0.9;2000411046;0;0;0;0;0.5;71;0.0;0.8;2.2;14.4;0.0;0.9;0.2;0.1;7%;18%;0.2;0;0.0;4.4;0.2;4.6;2.9;9.8;20.8;22.8;91%;0.6;10;0.3;0.3;0;1.4;1.7;2672;78.5882352941177;0.1;0.1;0.1;0.0;0.3;0.0;13 (14);1336;0.1;0.1;67;0.1;0.1;66;0.1;21;0.2;5;0.6;0.8;24;Italy;Serie A;POR;Genoa;DM, M (C);25;Unknown;€35K p/w
Wnt;Rafael Barreto;D (C);€825K;25;0;0.1;0.2;2000133915;0;0;0;0;0.5;64;0.9;1.1;2.8;10.9;0.1;2.2;1.0;0.7;0%;17%;0.0;0;0.0;3.5;0.0;9.5;2.2;4.4;36.4;40.9;89%;0.1;3;0.1;0.0;0;0.8;1.6;2724;87.8709677419355;0.0;0.0;0.0;0.0;0.0;0.0;31;0;0.0;0.0;0;0.0;0.0;0;1.3;75;4.1;125;1.4;5.5;166;Portugal;Premier League;VEN;Nacional da Madeira;D (C);25;Unknown;€5.25K p/w
Wnt;Anton Matković;ST (C);€2.3M;4;27;0.8;2.8;2000301456;0;0;0;0;0.1;75;0.0;0.4;1.3;1.6;0.0;0.7;0.2;0.0;7%;37%;1.0;0;0.0;6.6;0.8;10.9;0.7;21.4;25.3;27.9;91%;0.8;0;0.0;0.0;0;0.7;1.5;2249;66.1470588235294;0.3;0.2;0.4;0.0;0.0;0.0;8 (18);449.8;0.0;0.5;8;0.0;0.5;8;0.1;31;2.4;61;5.5;8.0;199;Italy;Serie A;CRO;Sampdoria;AM (RL), ST (C);28;Unknown;€35.5K p/w
;Tomás Soares;AM (C), ST (C);€19.5M;10;16;1.3;4.4;2000409460;0;0;0;0;0.3;70;0.0;0.5;1.3;2.2;0.0;0.8;0.1;0.1;8%;45%;2.0;0;0.0;6.1;1.0;10.8;1.2;17.1;26.5;29.2;91%;1.3;7;0.3;0.2;0;1.1;1.1;2485;69.0277777777778;0.4;0.4;0.4;0.0;0.1;0.0;27 (9);248.5;0.2;0.5;46;0.2;0.5;46;0.1;19;1.0;28;4.4;5.4;149;Spain;First Division;POR;Real Hispalis;AM (C), ST (C);26;Unknown;€55K p/w
Wnt;Max Schmitt;GK;€13M;5;0;0.0;0.0;2000241821;5;20;74;0;0.0;20;0.0;0.0;0.0;4.3;0.0;0.0;1.6;0.0;0%;0%;0.0;89;0.3;0.0;0.0;5.5;0.0;7.0;20.9;24.3;86%;0.0;0;0.0;0.0;3;1.1;1.2;3240;90;0.0;0.0;0.0;1.2;0.0;0.2;11 (21);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Germany;Bundesliga;GER;Borussia M'gladbach;GK;28;Unknown;€52K p/w
Wnt;Carlos Chávez;DM;€3.1M;17;0;0.7;0.2;2002280416;0;0;0;0;0.8;65;0.7;1.3;5.6;8.5;0.1;2.4;0.5;0.7;0%;33%;0.1;0;0.0;9.9;0.1;11.3;5.6;6.5;48.1;51.8;93%;0.7;4;0.3;0.3;0;1.1;1.4;1216;36.8484848484849;0.0;0.0;0.0;0.0;0.1;0.0;9 (24);0;0.0;0.0;0;0.0;0.0;0;0.3;63;2.0;27;1.2;3.2;43;Portugal;Premier League;PER;Leiria;DM;23;Unknown;€6.25K p/w
Wnt;Fousseyni Diabaté;AM (L);€11.75M;23;2;1.5;1.7;2002152321;0;0;0;0;1.6;91;0.0;2.7;9.8;3.0;0.0;1.9;0.7;0.5;0%;39%;0.7;0;0.0;16.4;3.8;12.0;3.2;23.9;37.0;42.3;88%;1.5;6;0.4;0.1;0;1.2;1.2;1218;38.0625;0.2;0.0;0.2;0.0;0.2;0.0;10 (22);0;0.7;3.8;19;0.7;3.8;19;0.0;19;0.6;8;2.6;3.2;43;Spain;First Division;MLI;Real Hispalis;M (L), AM (LC);23;Unknown;€17K p/w
;Sebas Salazar;M (R);€4.4M;43;0;1.6;0.9;2000442278;0;0;0;0;1.2;74;0.0;1.8;8.3;3.1;0.0;2.4;0.5;0.0;16%;36%;0.3;0;0.0;10.5;2.8;10.8;5.9;15.6;34.0;38.6;88%;1.6;4;0.1;0.1;0;1.6;1.3;2446;74.1212121212121;0.1;0.1;0.1;0.0;0.1;0.0;30 (3);611.5;0.4;2.1;20;0.4;2.1;19;0.0;52;0.9;25;0.8;1.8;48;France;Ligue 1 McDonald's;ESP;Toulouse FC;M/AM (RL);26;Unknown;€19K p/w
;José Giménez;D/WB (L);€54M;44;4;0.9;0.1;2002153633;0;0;0;0;2.1;75;0.8;2.2;8.0;11.9;0.0;2.8;0.5;0.4;0%;0%;0.0;0;0.0;18.0;1.7;11.2;5.9;11.7;51.9;56.5;92%;0.9;2;0.1;0.0;0;1.2;1.3;1433;68.2380952380952;0.0;0.0;0.0;0.0;0.0;0.0;17 (4);0;0.6;2.6;24;0.6;2.6;24;0.1;27;0.7;11;1.9;2.6;41;England;Premier League;ESP;Leicester;D/WB (L);24;Unknown;€88K p/w
Wnt;Jonathan Asp-Jensen;M (C);€10M;3;0;0.8;1.1;2000150158;0;0;0;0;0.1;100;0.0;0.1;0.2;14.4;0.0;0.0;0.0;0.0;12%;44%;0.5;0;0.0;0.5;0.1;0.5;0.3;11.6;2.0;2.3;90%;0.2;17;0.5;0.1;0;1.2;1.2;2861;75.2894736842105;0.1;0.1;0.1;0.0;0.2;0.0;38;715.25;0.0;0.0;0;0.5;3.5;14;0.0;50;0.0;1;0.0;0.1;2;Italy;Serie A;DEN;Parma;DM, M (C), AM (RLC);28;Unknown;€45K p/w
;Max Moerstedt;ST (C);€10.75M;7;18;0.8;3.8;2000230641;0;0;0;0;0.2;86;0.0;0.5;1.5;2.0;0.0;0.7;0.3;0.0;11%;49%;1.8;0;0.0;7.8;0.7;10.5;0.7;20.4;25.1;28.7;88%;0.8;4;0.1;0.1;0;1.1;1.3;3171;83.4473684210526;0.4;0.4;0.4;0.0;0.1;0.0;35 (3);211.4;0.1;0.4;23;0.1;0.4;23;0.2;34;2.2;78;4.3;6.6;231;Spain;First Division;GER;Atlético Pamplona;AM (RL), ST (C);28;Unknown;€40.5K p/w
;Osman Turay;WB (L);€14.25M;94;6;0.9;0.3;2000330899;0;0;0;0;2.1;72;0.7;2.2;6.9;11.2;0.1;3.4;1.0;0.5;0%;13%;0.0;0;0.0;16.9;1.2;11.8;6.5;15.0;51.2;58.3;88%;0.9;1;0.0;0.0;0;1.0;1.3;2863;89.46875;0.0;0.0;0.0;0.0;0.0;0.0;32;0;0.2;1.2;13;0.2;1.2;13;0.2;61;1.8;56;1.1;2.9;92;France;Ligue 1 McDonald's;GER;Brest;D (LC), WB/M/AM (L);26;Unknown;€39K p/w
;Noam Obougou Jacquet;AM (R);€32M;15;22;1.1;2.5;2000297063;0;0;0;0;0.4;73;0.0;0.7;2.7;2.5;0.0;1.1;0.2;0.3;15%;51%;1.3;0;0.0;7.9;1.1;10.8;1.4;14.3;29.2;31.7;92%;1.1;12;0.5;0.2;0;1.1;1.2;2314;70.1212121212121;0.3;0.4;0.3;0.0;0.2;0.0;30 (3);231.4;0.2;1.2;19;0.2;1.2;18;0.0;26;1.7;43;4.9;6.5;168;Germany;Bundesliga;FRA;Borussia M'gladbach;AM (RL), ST (C);28;Unknown;€60K p/w
;Nicolás Barros Schelotto;DM, M (C);€4.2M;0;0;1.1;0.2;2000362137;0;0;0;0;0.0;0;0.0;0.0;0.0;9.5;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;12.6;0.0;0.0;0%;0.2;4;0.2;0.2;0;1.3;1.4;1974;68.0689655172414;0.0;0.0;0.0;0.0;0.1;0.0;24 (5);0;0.0;0.0;0;1.1;7.9;14;0.0;0;0.0;0;0.0;0.0;0;Germany;Bundesliga;ARG;Hertha BSC;DM, M (C);27;Unknown;€32K p/w
Wnt;Tylel Tati;D (C);€14.75M;35;2;0.1;0.3;2000390047;0;0;0;0;1.0;91;0.7;1.4;3.1;15.2;0.1;2.8;0.8;0.4;0%;22%;0.1;0;0.0;3.3;0.0;9.5;2.8;3.7;44.2;47.5;93%;0.1;4;0.1;0.1;0;1.5;1.3;2773;89.4516129032258;0.0;0.0;0.0;0.0;0.0;0.0;6 (20);0;0.0;0.0;0;0.0;0.0;0;1.7;80;4.6;141;1.1;5.7;176;France;Ligue 1 McDonald's;FRA;Toulouse FC;D (C);26;Unknown;€32K p/w
;Facundo Martínez;AM (L);€9.5M;48;13;1.5;2.0;2000353328;0;0;0;0;1.1;69;0.0;1.9;8.6;5.6;0.0;1.8;0.8;0.3;16%;36%;0.7;0;0.0;13.7;5.2;11.2;2.8;18.6;38.1;42.0;91%;1.5;9;0.3;0.2;0;1.0;1.1;2587;80.84375;0.2;0.3;0.2;0.0;0.2;0.0;32;287.444444444444;0.5;1.9;28;0.5;1.9;27;0.0;18;0.5;15;2.4;2.9;84;Portugal;Premier League;URU;Rio Ave;AM (LC), ST (C);26;Unknown;€9.75K p/w
;Florian Hellstern;GK;€3.1M;1;0;0.0;0.0;2000332522;1;0;72;0;0.0;0;0.0;0.0;0.0;4.7;0.0;0.0;2.2;0.0;0%;0%;0.0;87;0.0;0.0;0.0;5.7;0.0;6.4;20.9;23.8;88%;0.0;0;0.0;0.0;3;1.3;1.3;3309;89.4324324324324;0.0;0.0;0.0;1.3;0.0;0.3;14 (12);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Germany;Bundesliga;GER;1. FSV Mainz 05;GK;26;Unknown;€26.5K p/w
;Nuuradiin Mahamuud Abdi;D (L);€12M;116;5;1.1;0.0;2000479967;0;0;0;0;1.9;67;0.3;2.3;7.3;13.6;0.1;3.0;0.8;0.4;50%;100%;0.0;0;0.0;16.1;0.6;11.2;7.1;16.0;53.4;59.3;90%;1.1;5;0.1;0.0;0;1.3;1.3;3787;84.1555555555556;0.0;0.0;0.0;0.0;0.1;0.0;7 (20);3787;0.1;1.1;13;0.1;1.1;12;0.4;66;2.4;102;1.2;3.7;154;Germany;Bundesliga;NED;TSG Hoffenheim;D (RLC), WB (L);24;Unknown;€40K p/w
Wnt;Oscar Godoy;D (C);€1.6M;27;0;0.2;0.4;2002088353;0;0;0;0;0.6;81;0.8;1.0;2.4;11.8;0.2;2.6;1.0;0.8;0%;6%;0.0;0;0.0;4.1;0.0;10.3;2.3;5.2;36.6;40.7;90%;0.2;1;0.0;0.0;0;1.0;1.6;3385;89.0789473684211;0.0;0.0;0.0;0.0;0.0;0.0;38;0;0.0;0.1;50;0.0;0.1;50;1.1;73;4.2;159;1.5;5.8;217;Germany;Bundesliga;PAR;FC Schalke 04;D (RLC);24;Unknown;€4.4K p/w
Wnt;Pedro Lima;D (R);€36M;102;4;0.9;0.6;2000264337;0;0;0;0;1.8;75;0.3;1.9;7.2;11.4;0.1;3.0;1.1;0.6;4%;30%;0.2;0;0.0;14.0;1.3;11.1;7.4;14.1;52.5;58.4;90%;0.9;6;0.1;0.1;0;1.4;1.2;3751;81.5434782608696;0.1;0.0;0.1;0.0;0.1;0.0;46;3751;0.2;1.1;15;0.2;1.1;14;0.0;39;1.0;42;1.6;2.6;109;Portugal;Premier League;BRA;BRG;D (RC), WB (R);27;Unknown;€41.5K p/w
Wnt;Chido Obi;ST (C);€28.5M;6;28;0.9;2.8;2000382120;0;0;0;0;0.2;83;0.0;0.6;1.3;3.0;0.0;0.4;0.2;0.1;17%;52%;1.4;0;0.0;7.0;0.6;11.0;0.8;12.7;28.4;32.1;89%;0.9;2;0.1;0.0;0;1.2;1.6;2733;82.8181818181818;0.3;0.5;0.3;0.0;0.1;0.0;32 (1);195.214285714286;0.2;0.5;33;0.2;0.5;33;0.1;42;2.8;84;3.8;6.6;200;France;Ligue 1 McDonald's;DEN;Paris FC;ST (C);26;Unknown;€58K p/w
Wnt;Jorge Varela;D (R);€10.25M;103;6;2.1;0.1;2000078664;0;0;0;0;2.3;73;0.6;2.5;9.9;11.3;0.1;2.5;1.0;0.4;0%;0%;0.0;0;0.0;21.8;3.2;12.2;5.2;16.4;39.5;46.3;85%;2.1;3;0.1;0.0;0;0.5;1.1;2970;90;0.0;0.0;0.0;0.0;0.0;0.0;25 (2);0;0.8;6.7;11;0.8;6.7;11;0.5;54;2.3;75;2.0;4.2;140;Portugal;Premier League;CPV;Penafiel;D (RL), WB (R);24;Unknown;€3.1K p/w
Int;Rúben Sêco;ST (C);€725K;14;20;1.0;2.5;2002153033;0;0;0;0;0.2;50;0.0;0.6;1.7;2.5;0.0;1.0;0.2;0.1;10%;36%;0.9;0;0.0;5.6;0.6;9.9;1.1;15.3;26.3;28.6;92%;1.0;5;0.2;0.0;0;0.6;1.8;2772;84;0.3;0.3;0.3;0.0;0.1;0.0;12 (19);346.5;0.1;0.2;29;0.1;0.2;28;0.0;22;1.1;33;3.7;4.8;148;France;Ligue 1 McDonald's;POR;FC Annecy;M (R), AM (RLC), ST (C);24;Unknown;€15.25K p/w
;Leopold Wurm;D (C);€1.3M;4;0;0.0;0.1;2000259290;0;0;0;0;0.3;100;1.2;0.4;2.9;11.3;0.1;3.4;0.8;0.7;0%;0%;0.0;0;0.0;3.7;0.1;10.5;1.2;3.7;39.1;42.6;92%;0.0;0;0.0;0.0;0;0.6;1.0;1070;66.875;0.0;0.0;0.0;0.0;0.0;0.0;9 (7);0;0.0;0.0;0;0.0;0.0;0;1.3;79;3.8;45;1.0;4.8;57;Germany;Bundesliga;GER;Holstein Kiel;D (C);28;Unknown;€17.75K p/w
;Sergi Carnicero;GK;€13M;5;0;0.0;0.0;2002153608;5;0;76;1;0.0;0;0.0;0.0;0.0;5.5;0.0;0.0;2.6;0.0;0%;0%;0.0;87;0.3;0.0;0.0;5.2;0.0;6.2;20.6;23.8;86%;0.0;0;0.0;0.0;4;0.8;1.4;3540;90.7692307692308;0.0;0.0;0.0;1.4;0.0;0.2;39;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Spain;First Division;ESP;Getafe;GK;23;Unknown;€44K p/w
Int;Romeo Leandersson;M (C);€5M;14;0;0.5;1.5;2000431856;0;0;0;0;0.6;71;0.0;1.0;2.1;11.5;0.1;1.0;0.4;0.2;4%;31%;0.5;0;0.0;4.7;0.0;4.8;2.7;8.7;23.0;24.9;92%;0.5;7;0.4;0.1;0;1.0;1.2;1516;42.1111111111111;0.1;0.1;0.1;0.0;0.1;0.0;14 (22);1516;0.0;0.1;0;0.0;0.1;0;0.0;40;0.2;4;0.4;0.6;10;Italy;Serie A;SWE;Parthenope;DM, M/AM (C);25;Unknown;€30.5K p/w
;Diogo Sousa;DM;€31.5M;54;2;1.0;0.6;2000183115;0;0;0;0;1.2;78;0.0;1.3;4.8;17.9;0.1;2.9;0.5;0.4;4%;22%;0.1;0;0.0;11.3;0.2;11.4;7.4;5.2;54.4;58.5;93%;0.9;14;0.4;0.1;0;0.9;0.8;3196;79.9;0.1;0.0;0.1;0.0;0.2;0.0;40;3196;0.0;0.1;20;0.3;1.9;17;0.1;27;0.3;12;0.9;1.3;45;Portugal;Premier League;POR;VTSC;DM, M (C);28;Unknown;€29.5K p/w
;Zach Abbott;D (RC);€5.5M;13;0;0.1;0.7;2000222768;0;0;0;0;0.4;92;0.5;0.7;2.3;13.8;0.1;3.0;0.8;0.7;0%;29%;0.2;0;0.0;3.9;0.1;9.6;1.6;3.0;40.1;43.6;92%;0.1;3;0.1;0.0;0;0.6;1.0;2970;90;0.1;0.0;0.1;0.0;0.0;0.0;30 (3);0;0.0;0.0;0;0.0;0.0;0;0.8;66;3.8;127;2.0;5.8;193;Portugal;Premier League;ENG;Penafiel;D (RLC);28;Unknown;€6.75K p/w
;Robinio Vaz;ST (C);€6M;9;33;0.7;3.0;2000290881;0;0;0;0;0.2;67;0.0;0.4;1.8;1.9;0.0;0.9;0.2;0.1;10%;43%;1.3;0;0.0;6.0;0.9;11.0;0.7;16.6;24.7;27.6;89%;0.7;4;0.1;0.0;0;1.0;1.7;2749;78.5428571428571;0.4;0.3;0.4;0.0;0.1;0.0;33 (2);305.444444444444;0.0;0.4;0;0.0;0.4;0;0.1;42;3.0;91;4.2;7.1;218;France;Ligue 1 McDonald's;FRA;Saint-Étienne;AM (L), ST (C);27;Unknown;€47.5K p/w
Wnt;Ben Kieffer;D (RC);€12M;84;2;0.7;0.5;2000322429;0;0;0;0;1.8;82;0.6;1.7;7.2;11.7;0.1;3.5;0.9;0.6;12%;18%;0.1;0;0.0;14.2;0.3;11.3;7.4;15.3;55.7;60.8;92%;0.7;4;0.1;0.1;0;1.7;1.5;3392;84.8;0.0;0.1;0.0;0.0;0.0;0.0;39 (1);1696;0.1;0.7;7;0.1;0.7;7;0.6;67;2.8;106;1.4;4.2;158;Germany;Bundesliga;GER;Sport-Club Freiburg;D (RC), WB (R);26;Unknown;€63K p/w
Wnt;Daisuke Akiyama;DM;€2.7M;37;2;1.0;0.1;19380219;0;0;0;0;1.1;78;0.3;1.5;6.3;10.2;0.1;2.5;0.7;0.8;0%;50%;0.0;0;0.0;11.4;0.2;11.7;5.7;5.7;45.7;50.7;90%;1.0;2;0.1;0.0;0;0.7;1.5;2474;72.7647058823529;0.0;0.0;0.0;0.0;0.1;0.0;11 (21);0;0.0;0.1;33;0.0;0.1;33;0.0;38;0.8;22;1.3;2.1;58;Germany;Bundesliga;JPN;Holstein Kiel;D (C), DM, M (C);24;Unknown;€17K p/w
;Milton Tembe;D (C);€160K;6;0;0.2;0.4;2002230547;0;0;0;0;0.4;100;1.0;0.8;2.6;9.0;0.1;2.4;1.4;0.6;0%;33%;0.1;0;0.0;2.9;0.0;10.1;2.3;6.7;44.1;52.6;84%;0.2;1;0.1;0.0;0;0.8;1.3;1251;73.5882352941177;0.1;0.0;0.1;0.0;0.0;0.0;15 (2);0;0.0;0.0;0;0.0;0.0;0;1.4;77;5.6;78;1.7;7.3;101;Portugal;Premier League;MOZ;Nacional da Madeira;D (RC);23;Unknown;€850 p/w
Int;Reno Münz;D (C);€2.5M;56;1;0.4;0.3;2000211664;0;0;0;0;0.9;70;0.3;1.3;3.3;14.1;0.1;2.4;1.0;0.5;25%;33%;0.1;0;0.0;5.2;0.2;10.0;3.0;4.2;48.8;52.1;94%;0.4;12;0.3;0.2;0;1.3;1.2;4102;85.4583333333333;0.0;0.1;0.0;0.0;0.1;0.0;8 (18);1367.33333333333;0.1;0.5;14;0.1;0.5;14;0.9;53;2.3;103;2.0;4.3;194;Spain;First Division;IDN;Espanyol;D (LC), DM;28;Unknown;€34K p/w
;Pablo López;AM (L);€8.75M;23;3;1.8;1.4;2000325316;0;0;0;0;1.4;96;0.0;1.8;9.1;3.1;0.0;1.9;0.6;0.1;4%;22%;0.3;0;0.0;15.6;5.0;11.6;3.2;23.1;39.0;44.7;87%;1.8;3;0.2;0.1;0;0.8;1.3;1429;84.0588235294118;0.3;0.1;0.3;0.0;0.1;0.0;17;1429;0.4;3.3;11;0.4;3.3;11;0.1;35;0.8;12;1.4;2.1;34;Spain;First Division;ESP;Almería;AM (RLC);28;Unknown;€24.5K p/w
;Youcef Ferhat;DM;€750K;19;2;0.6;0.1;2000500944;0;0;0;0;1.5;89;0.4;1.7;5.8;11.3;0.0;2.7;0.8;0.4;0%;0%;0.0;0;0.0;10.9;0.1;10.8;3.9;9.3;45.8;50.4;91%;0.4;7;0.6;0.0;0;0.4;1.2;1017;78.2307692307692;0.0;0.0;0.0;0.0;0.2;0.0;13 (14);0;0.0;0.1;0;0.0;0.1;0;0.4;67;2.3;26;1.2;3.5;39;Portugal;Premier League;FRA;Nacional da Madeira;D (C), DM, M (C);22;Unknown;€8.5K p/w
;Alejandro Rey;GK;€41.5M;8;0;0.0;0.0;2002347064;8;13;75;3;0.0;13;0.0;0.0;0.0;3.1;0.0;0.0;1.3;0.0;0%;0%;0.0;89;-0.0;0.0;0.0;5.3;0.0;7.7;19.4;23.4;83%;0.0;0;0.0;0.0;3;0.9;1.4;2986;85.3142857142857;0.0;0.0;0.0;1.4;0.0;0.3;26 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Spain;First Division;ESP;Almería;GK;21;Unknown;€19.75K p/w
Wnt;Jairo Morilla;AM (R);€13.5M;45;13;1.8;1.6;2000529253;0;0;0;0;1.6;89;0.0;2.2;9.6;3.5;0.0;2.2;0.6;0.2;8%;35%;0.6;0;0.0;13.8;4.5;11.9;3.7;17.3;42.4;47.0;90%;1.8;6;0.2;0.1;0;0.8;2.0;2258;66.4117647058823;0.2;0.1;0.2;0.0;0.1;0.0;14 (17);752.666666666667;0.6;3.4;16;0.6;3.4;16;0.0;46;1.4;34;1.6;2.9;74;Italy;Serie A;ESP;Spezia;M/AM (R), ST (C);25;Unknown;€42.5K p/w
Wnt;Ismeal Kabia;AM (R);€17.75M;49;17;1.6;1.6;2000216551;0;0;0;0;1.0;69;0.0;2.1;10.2;5.7;0.0;2.5;0.4;0.2;11%;43%;0.7;0;0.0;15.5;4.0;11.6;3.9;19.4;40.0;45.6;88%;1.6;3;0.1;0.1;0;1.2;1.3;2924;68;0.1;0.2;0.1;0.0;0.1;0.0;42 (1);487.333333333333;0.7;3.4;21;0.7;3.4;20;0.0;10;0.2;8;2.3;2.5;82;Germany;Bundesliga;NED;TSG Hoffenheim;M (R), AM (RL);28;Unknown;€52K p/w
Wnt;Armand Mountaïrou;M (C), AM (R);€1.3M;25;7;1.7;1.3;2002085522;0;0;0;0;0.8;72;0.0;1.7;7.5;4.0;0.0;1.9;0.5;0.2;11%;29%;0.4;0;0.0;16.7;2.9;11.3;3.5;19.2;39.9;45.2;88%;1.6;10;0.5;0.1;0;0.9;1.8;1957;72.4814814814815;0.1;0.1;0.1;0.0;0.3;0.0;20 (7);652.333333333333;0.3;2.7;12;0.3;2.8;11;0.0;34;1.0;22;2.0;3.0;65;France;Ligue 1 McDonald's;BEN;FC Nantes;M (C), AM (RC);23;Unknown;€9.75K p/w
Wnt;Mika Wallentowitz;AM (R);€10.5M;62;13;1.8;1.8;2000327139;0;0;0;0;1.3;65;0.0;2.4;10.0;4.8;0.0;2.7;0.5;0.4;12%;40%;0.7;0;0.0;16.7;3.6;12.0;3.9;16.4;42.5;46.7;91%;1.8;10;0.3;0.1;0;0.9;1.7;2785;79.5714285714286;0.2;0.2;0.2;0.0;0.2;0.0;35;397.857142857143;0.5;3.1;18;0.5;3.1;17;0.0;53;1.3;40;1.2;2.5;76;Germany;Bundesliga;GER;FC Schalke 04;D/WB/M (R), AM (RLC);26;Unknown;€73K p/w
;Finn Baks;D (L);€28.5M;77;2;0.7;0.0;2000479966;0;0;0;0;2.4;83;0.7;2.0;8.1;8.8;0.1;2.8;0.9;0.7;0%;0%;0.0;0;0.0;15.7;1.1;11.0;6.9;18.2;55.7;60.9;92%;0.7;2;0.1;0.0;0;0.7;1.5;2446;81.5333333333333;0.0;0.0;0.0;0.0;0.0;0.0;30;0;0.1;0.9;16;0.1;0.9;16;0.2;70;1.9;52;0.8;2.7;74;England;Premier League;NED;Southampton;D (L);25;Unknown;€31.5K p/w
;Cherif Heriat;AM (R), ST (C);€7.75M;49;6;1.1;1.2;35153269;0;0;0;0;1.8;86;0.1;1.7;7.7;2.6;0.0;1.9;0.7;0.1;3%;34%;0.4;0;0.0;11.7;0.8;10.5;3.3;18.3;28.0;31.9;88%;1.1;5;0.2;0.1;0;0.9;1.4;2124;62.4705882352941;0.1;0.0;0.1;0.0;0.1;0.0;26 (8);2124;0.3;2.9;9;0.3;3.0;8;0.0;28;1.1;27;3.0;4.2;98;France;Ligue 1 McDonald's;FRA;Brest;M/AM (R), ST (C);24;Unknown;€17K p/w
;Mário Pires;M/AM (R), ST (C);€9.75M;88;0;1.7;0.7;2002086505;0;0;0;0;3.3;73;0.1;3.1;12.8;2.6;0.1;2.3;0.7;0.0;0%;21%;0.2;0;0.0;16.2;0.0;11.0;4.6;16.0;29.8;34.7;86%;1.7;2;0.1;0.1;0;1.1;1.4;1755;79.7727272727273;0.1;0.0;0.1;0.0;0.1;0.0;13 (11);0;1.0;4.3;23;1.0;4.3;22;0.0;23;0.5;10;1.7;2.2;43;Germany;Bundesliga;POR;Hertha BSC;M (R), AM (RL), ST (C);24;Unknown;€35.5K p/w
